idno,ipcrtiva,impricha,ipeqopta,ipshabta,impsafea,impdiffa,ipfrulea,ipudrsta,ipmodsta,ipgdtima,impfreea,iphlppla,ipsucesa,ipstrgva,ipadvnta,ipbhprpa,iprspota,iplylfra,impenva,imptrada,impfuna
72230,1,6,1,3,2,3,4,1,3,3,1,1,4,3,4,3,4,2,2,5,3
72233,3,6,2,5,3,2,3,2,2,3,2,2,5,4,3,3,4,2,2,4,5
72277,1,2,2,1,2,2,5,2,4,1,1,2,1,2,1,3,1,2,2,4,2
72346,2,5,3,2,2,3,3,1,2,3,2,2,2,2,4,2,2,2,1,2,2
72348,1,5,2,3,2,3,5,2,3,2,1,1,1,2,2,2,2,1,1,2,2
72360,3,1,1,3,2,2,5,3,3,4,3,3,5,5,6,2,4,2,1,5,5
72363,2,5,3,3,4,4,5,3,5,4,3,4,3,4,3,3,3,2,3,4,4
72376,2,6,2,2,2,3,2,2,2,2,1,1,2,2,6,2,3,1,2,2,2
72385,1,3,1,3,2,2,2,3,4,3,4,2,2,1,4,3,5,2,1,3,5
72397,3,3,1,4,2,5,5,2,4,2,2,2,2,2,5,3,2,2,3,2,4
72413,4,4,3,3,4,5,3,4,2,1,1,1,2,3,2,3,3,3,1,1,2
72445,2,4,2,5,3,3,3,2,2,2,2,3,2,2,5,3,2,1,2,2,2
72447,4,4,2,4,2,3,5,4,2,2,3,4,3,2,5,4,4,2,2,5,2
72449,4,5,2,2,3,2,5,3,4,2,2,2,3,2,5,3,5,2,2,4,3
72457,5,2,2,2,3,2,2,3,2,2,2,2,1,2,2,2,2,2,1,3,2
72472,4,5,3,5,5,4,5,2,2,2,1,3,3,2,4,3,2,1,1,2,3
72481,3,6,1,5,1,6,2,2,4,4,1,1,5,1,6,1,4,1,1,1,3
72501,3,5,3,5,5,2,4,2,3,3,4,2,5,5,5,4,4,2,3,5,4
72537,1,4,2,4,1,2,5,2,3,1,2,2,3,1,3,4,5,1,2,3,1
72551,3,5,2,5,5,5,4,2,2,2,2,2,4,4,4,4,4,1,2,5,3
72552,1,6,1,2,2,1,1,3,1,2,1,1,3,1,3,2,1,1,2,5,3
72553,2,6,2,3,3,6,3,4,1,3,2,4,5,1,4,4,4,2,2,4,4
72566,3,4,2,1,3,3,4,2,5,1,1,4,1,4,5,5,4,1,1,4,2
72576,2,3,2,4,3,3,3,2,2,2,2,2,3,3,3,3,3,2,3,3,2
72577,2,2,1,1,2,1,2,2,5,1,1,1,1,1,1,2,1,1,3,1,1
72583,3,5,2,5,2,5,3,2,1,5,3,2,5,4,6,2,5,2,2,3,5
72606,3,5,3,5,5,1,6,1,2,2,2,3,4,4,2,5,5,1,3,3,3
72607,2,5,2,2,1,5,3,2,2,2,2,2,3,3,6,4,1,1,1,2,2
72608,1,2,2,2,2,2,2,2,5,2,2,2,2,1,4,3,2,1,3,1,2
72609,3,5,2,3,1,5,2,2,2,2,4,2,5,1,6,2,3,2,3,3,4
72617,1,6,5,2,1,2,2,2,3,2,2,2,2,2,2,2,2,3,2,5,2
72619,3,5,1,5,4,4,6,1,2,2,1,1,4,2,5,4,5,2,2,5,4
72624,2,4,2,3,2,5,3,2,3,1,2,4,5,2,3,4,5,1,3,5,2
72641,5,3,2,2,2,2,2,2,5,2,1,2,2,1,2,3,1,2,2,2,2
72646,3,5,2,2,3,2,5,2,2,2,2,2,2,2,5,2,2,2,2,2,2
72677,1,6,2,1,1,6,5,2,2,6,1,3,5,1,5,3,1,1,1,6,5
72688,4,3,1,2,2,5,5,2,2,3,1,2,3,2,6,2,4,1,1,5,4
72710,2,5,2,5,5,2,2,2,2,3,1,2,3,1,4,5,5,2,2,2,4
72720,2,5,2,3,3,3,3,2,3,2,1,1,4,3,4,3,3,1,2,3,2
72723,3,4,2,2,4,2,3,2,2,3,2,2,3,3,2,2,2,1,1,4,1
72737,2,2,1,4,1,5,2,1,1,2,1,1,3,2,6,1,5,2,2,2,2
72763,1,3,3,3,1,1,5,1,2,1,1,5,1,5,2,2,3,1,4,4,4
72773,1,6,1,4,2,2,2,1,1,3,2,2,2,2,6,2,4,1,1,1,4
72803,2,6,1,1,1,2,4,1,2,3,2,1,3,2,5,2,2,3,1,3,3
72805,2,4,2,2,3,4,5,2,2,2,2,2,2,2,2,3,2,2,2,5,2
72876,2,1,2,3,2,2,6,5,6,1,1,5,4,88,2,5,4,2,2,6,3
72888,1,5,2,4,3,3,5,2,2,2,1,2,3,2,5,3,5,2,2,2,1
72902,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
72904,2,4,1,3,2,2,2,2,2,2,2,1,1,2,4,2,2,2,2,3,2
72908,1,5,1,5,2,3,3,1,1,5,1,1,4,1,3,2,2,1,3,1,2
72927,3,2,2,1,1,2,1,2,2,1,1,1,1,2,3,1,1,1,2,1,2
72931,1,4,1,5,1,5,2,2,3,4,1,2,4,1,6,2,4,1,1,2,4
72946,2,3,4,2,4,3,5,2,6,3,2,5,3,3,2,4,2,5,2,2,2
72960,2,4,1,2,1,1,3,2,1,1,1,2,2,2,2,1,5,1,1,5,1
72964,1,5,2,5,2,2,5,1,2,2,1,2,5,2,3,2,1,2,1,3,5
72978,2,5,1,4,1,5,1,2,2,3,1,1,2,2,6,2,4,2,3,2,3
72984,5,3,2,4,2,3,4,1,4,2,2,3,2,1,3,2,2,1,3,6,3
73007,1,5,2,5,1,5,3,4,2,2,1,2,6,1,6,1,2,1,1,2,2
73060,3,4,3,5,2,1,4,3,2,2,3,3,4,2,4,2,3,2,3,3,3
73061,3,5,2,6,2,2,4,2,2,4,2,2,5,4,6,3,2,1,1,4,5
73062,1,5,1,3,2,3,4,1,1,2,1,2,4,4,4,4,3,1,1,4,4
73066,1,5,1,5,1,3,2,1,2,1,1,3,3,2,6,2,3,2,2,2,4
73067,3,5,1,4,2,5,3,2,3,3,2,2,4,3,6,3,3,1,1,4,5
73068,2,5,2,5,3,3,5,3,2,3,2,3,2,2,3,5,5,2,1,5,5
73126,2,5,2,5,3,4,5,2,5,3,4,3,5,5,5,5,5,2,1,4,5
73157,3,6,1,4,3,3,5,1,4,3,1,1,5,3,4,4,4,1,2,3,3
73213,3,4,1,3,3,5,5,3,2,2,3,2,3,4,5,3,3,2,2,5,3
73215,3,6,1,6,4,3,5,1,3,1,1,1,5,5,5,4,6,1,1,3,3
73233,3,5,2,6,2,3,3,2,1,2,2,2,3,2,4,3,3,1,2,5,2
73256,1,5,2,5,2,2,5,2,5,2,1,1,3,4,6,5,5,2,1,5,3
73270,3,3,2,5,4,2,4,4,3,2,1,2,2,2,2,3,5,2,3,5,2
73287,3,3,2,4,3,3,2,1,3,3,1,2,2,1,4,4,2,1,3,2,3
73317,3,6,5,5,2,5,5,2,2,5,2,5,5,5,6,2,5,2,5,2,3
73320,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
73323,3,6,2,5,1,3,2,3,1,3,2,1,5,1,4,3,5,1,3,1,4
73332,4,5,5,5,2,5,2,4,2,3,2,2,5,2,5,2,3,3,2,4,4
73334,3,3,3,4,5,4,2,2,5,2,2,2,2,2,2,2,2,2,4,2,3
73356,3,5,1,5,1,5,2,2,2,3,2,1,5,1,6,2,4,1,2,2,3
73358,1,2,3,2,2,1,3,2,1,1,1,1,3,3,1,3,2,1,1,2,1
73377,2,5,1,6,1,1,1,1,1,4,2,4,5,2,5,4,5,2,1,4,4
73401,2,4,3,4,4,2,4,3,4,2,2,2,3,2,5,4,5,2,3,2,4
73435,2,3,1,5,4,2,5,3,3,1,1,2,4,1,5,5,4,1,4,2,1
73437,2,6,2,5,2,1,1,2,1,1,2,3,5,1,6,2,3,2,2,2,2
73439,3,5,2,3,2,2,3,2,2,2,2,1,3,2,5,3,5,1,1,1,2
73448,3,5,1,5,5,1,5,1,2,3,1,2,4,3,1,3,3,2,1,5,2
73494,2,3,1,2,2,2,4,2,4,2,1,3,1,1,4,5,5,1,4,3,3
73567,2,5,1,2,1,2,3,4,2,4,1,1,4,2,5,1,3,1,2,2,4
73568,2,5,2,5,2,3,2,3,3,3,2,1,4,3,6,4,3,1,2,3,5
73572,2,4,1,3,1,3,4,2,2,2,1,1,2,2,4,2,1,2,3,3,3
73584,4,5,1,3,2,2,3,1,4,2,3,2,4,5,4,3,4,1,2,2,2
73593,3,5,2,5,3,3,2,3,3,3,2,2,5,2,5,4,5,2,1,3,4
73642,1,5,1,5,1,4,2,1,3,3,1,1,3,1,5,5,3,1,2,4,4
73690,3,3,2,5,2,5,4,2,2,1,2,1,3,1,4,3,3,1,1,3,3
73693,2,5,3,5,3,6,5,5,3,5,3,4,3,3,5,3,6,2,3,5,5
73694,1,3,1,2,1,1,3,1,1,1,1,2,1,2,1,1,1,1,2,1,1
73697,3,4,3,5,4,3,5,2,4,3,3,4,4,6,4,5,3,2,1,5,3
73699,1,6,2,5,1,2,2,2,2,1,2,1,2,2,5,2,3,1,1,1,2
73707,3,4,2,4,2,1,1,3,2,1,2,1,3,1,4,4,5,1,1,1,2
73708,2,4,2,5,4,4,5,2,2,2,2,2,4,4,5,3,5,2,1,3,6
73715,2,6,1,6,4,3,1,1,3,5,1,1,6,2,4,2,6,1,1,1,4
73739,5,5,3,2,1,3,5,3,3,2,2,2,2,2,5,2,3,2,2,3,2
73751,1,5,1,5,2,3,3,2,2,2,2,2,2,1,4,5,1,2,2,3,2
73763,2,3,5,3,5,4,5,2,5,3,5,3,5,3,5,6,6,3,6,3,6
73772,2,5,1,1,2,1,2,2,2,4,1,2,4,2,4,2,2,1,2,4,5
73780,2,5,1,3,2,3,4,2,3,3,2,2,4,4,5,3,5,1,1,5,5
73793,2,6,1,3,2,4,4,1,2,5,2,1,4,3,6,4,3,2,1,3,5
73808,3,6,1,6,5,1,6,5,3,3,2,1,6,6,3,5,5,2,2,6,2
73815,3,5,2,4,1,2,5,1,1,2,1,2,3,2,4,3,4,1,2,2,2
73869,1,6,2,6,2,6,6,2,2,3,1,1,5,3,6,6,5,2,1,6,5
73885,1,6,1,2,1,2,6,2,3,2,1,2,1,3,6,3,3,1,1,2,6
73889,1,5,2,6,3,2,5,3,1,1,2,1,6,2,5,3,5,2,1,3,3
73893,2,5,1,2,1,6,3,1,3,1,1,2,2,1,6,3,4,1,1,2,2
73925,2,5,2,5,5,3,5,4,3,3,2,3,5,2,3,3,5,1,3,2,3
73928,3,4,1,2,1,2,1,1,3,2,2,1,3,3,6,3,5,1,1,2,3
73998,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
74007,2,5,2,5,5,3,3,3,4,3,1,5,3,4,3,4,3,2,3,4,4
74037,2,4,2,5,2,5,5,2,2,2,3,2,3,3,5,5,5,1,4,2,3
74050,4,5,2,5,3,4,3,2,2,2,2,2,2,3,4,2,5,2,1,6,2
74072,1,3,1,2,1,2,5,2,3,1,1,2,2,2,2,2,4,1,1,4,2
74084,3,6,1,4,4,4,4,2,2,2,1,1,5,1,5,3,4,1,2,2,2
74087,3,5,4,5,1,3,5,3,2,3,2,2,3,2,6,3,3,2,2,2,4
74094,2,5,2,6,3,6,6,1,2,5,1,1,5,3,6,3,4,1,2,1,5
74103,3,5,2,3,2,2,3,3,5,2,1,2,3,3,6,2,3,1,2,3,3
74114,1,2,1,2,1,3,4,2,3,3,2,2,2,2,4,3,3,3,1,3,4
74115,2,4,2,5,2,4,4,3,2,3,2,2,5,3,5,3,5,2,2,2,5
74118,2,5,1,2,1,3,5,3,5,2,2,2,2,2,3,4,2,5,1,2,2
74136,1,4,1,5,1,2,5,1,2,3,3,1,3,1,3,3,3,1,1,2,2
74147,5,5,2,3,2,3,5,2,4,2,2,2,3,5,5,5,5,2,4,3,2
74162,1,5,2,5,2,2,5,2,2,2,2,1,6,2,3,2,5,2,2,3,2
74171,2,3,4,3,2,4,4,3,2,1,1,2,2,2,5,4,2,1,1,3,3
74187,4,5,2,5,1,5,3,3,2,4,2,2,5,2,5,3,5,2,3,4,3
74188,3,5,6,6,5,1,5,2,5,1,1,1,4,1,5,6,6,1,2,4,3
74199,3,5,2,2,2,4,3,2,2,3,1,1,3,2,4,2,3,1,1,2,4
74218,1,4,2,3,3,1,5,4,5,1,1,1,2,2,1,5,3,1,2,4,1
74285,3,5,3,3,2,5,2,2,2,1,2,2,3,2,5,2,2,2,2,2,2
74303,3,3,1,3,2,3,5,2,3,2,1,1,2,4,4,2,2,1,1,6,2
74334,2,5,1,5,2,4,5,3,3,2,3,1,4,2,5,2,3,1,2,3,2
74340,1,3,1,4,4,5,2,1,4,2,1,2,4,1,3,4,2,1,1,2,4
74362,2,5,2,5,2,1,3,1,1,2,1,1,3,3,2,2,3,1,3,2,1
74365,2,4,2,4,5,3,4,1,4,1,1,1,4,3,2,3,5,1,4,3,5
74367,3,5,3,5,2,2,3,3,1,4,2,2,5,2,5,3,2,1,2,5,5
74392,1,3,2,5,2,4,5,1,2,1,1,3,3,1,4,5,5,1,3,2,1
74400,2,5,2,6,2,1,3,2,2,2,1,2,5,1,4,3,6,1,3,2,3
74417,2,5,2,2,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,1,2
74464,4,3,3,3,2,3,4,4,2,3,2,3,3,2,4,3,3,2,3,4,3
74469,2,5,1,5,2,3,4,1,4,4,2,2,4,4,5,4,3,1,1,4,5
74489,1,6,1,5,4,6,2,1,3,5,1,1,3,2,5,1,4,1,1,1,5
74527,4,6,1,6,3,3,3,1,2,4,2,3,5,2,5,3,6,2,3,5,4
74567,1,3,1,2,6,2,6,1,3,5,1,1,3,1,3,3,2,1,1,2,3
74603,3,6,1,5,4,2,6,2,5,1,1,2,5,2,3,5,5,1,2,3,2
74608,2,4,2,5,2,2,2,2,2,2,2,2,2,2,3,4,2,2,2,2,2
74612,2,5,1,5,2,2,5,2,2,2,2,2,4,2,6,2,5,2,1,2,5
74621,4,6,2,4,3,2,4,2,2,4,2,2,4,2,4,3,4,1,3,5,1
74629,3,5,2,4,1,5,5,5,1,2,2,2,4,1,5,2,5,2,2,4,2
74671,3,4,4,5,2,2,6,1,1,2,2,3,3,2,5,2,2,1,3,5,2
74679,1,3,1,5,3,2,5,1,3,2,2,3,5,4,2,5,5,1,2,5,2
74681,2,6,1,5,3,3,5,2,3,2,2,2,4,3,4,3,2,2,1,2,4
74689,2,5,2,5,3,3,5,2,2,1,1,1,2,2,5,3,2,1,3,1,2
74712,3,4,1,5,1,2,2,2,1,2,2,2,1,1,6,2,3,2,2,6,5
74719,4,5,2,2,1,5,3,2,2,3,1,3,4,2,5,1,2,3,2,4,5
74722,1,4,2,2,1,1,1,2,4,1,1,4,1,2,3,2,1,1,4,1,4
74724,5,4,3,2,2,5,6,3,5,2,1,3,4,2,6,2,2,2,5,5,6
74729,2,4,1,6,2,1,2,3,1,2,1,2,4,1,4,1,2,1,1,1,2
74735,2,5,2,3,4,2,3,1,2,4,3,2,2,2,3,3,3,2,1,2,4
74764,3,5,2,5,2,5,4,2,2,5,3,2,4,1,6,3,2,2,2,4,5
74770,2,3,1,3,1,4,2,1,4,2,1,1,3,2,4,3,3,1,1,5,3
74774,3,5,1,4,3,2,5,1,3,2,1,1,2,2,5,3,3,1,2,2,5
74805,2,1,5,3,3,5,4,1,1,1,3,1,5,1,2,1,1,2,3,1,3
74824,3,3,1,4,3,3,5,1,3,2,2,2,2,2,5,1,5,1,1,3,2
74825,3,5,2,5,1,3,5,2,2,2,2,2,2,2,5,2,5,1,2,2,2
74847,2,2,2,4,2,3,2,2,2,3,2,2,3,2,4,3,2,1,3,2,4
74859,2,5,4,3,2,3,2,2,5,3,2,2,5,6,3,3,4,2,3,4,3
74866,3,1,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,4,3,1,2
74869,4,5,2,5,2,2,2,1,2,2,1,2,2,1,5,2,2,1,2,2,2
74904,2,4,1,3,3,2,4,1,5,2,1,2,3,2,3,3,1,2,1,3,5
74917,3,2,1,2,2,3,1,1,4,4,2,2,4,88,5,3,5,2,1,4,4
74922,3,5,2,5,2,4,5,2,2,3,2,1,2,2,3,2,4,1,2,2,3
74940,2,2,2,2,3,2,3,2,5,2,2,3,2,2,3,4,4,2,2,5,3
74958,2,5,3,4,2,3,5,2,2,2,1,3,5,1,5,5,5,2,5,3,3
74999,2,2,3,4,2,1,3,2,2,2,2,2,3,3,3,3,5,2,1,1,2
75024,2,5,2,4,2,3,3,3,3,3,3,2,2,2,3,2,2,2,2,2,3
75033,2,4,1,3,1,4,3,1,2,4,2,2,3,3,5,1,2,2,1,3,3
75040,2,5,1,4,3,3,5,2,2,3,1,3,4,3,5,5,2,1,1,3,5
75043,2,2,1,2,1,2,2,1,1,1,3,2,2,2,3,1,2,2,1,2,3
75071,2,5,2,3,2,2,1,3,3,1,1,1,2,4,2,2,2,1,1,2,1
75076,3,6,1,4,3,5,5,3,3,2,3,3,3,2,5,2,5,3,2,2,3
75082,3,3,1,2,2,1,4,2,4,1,1,2,2,3,2,4,3,1,2,3,1
75088,1,4,2,2,4,1,5,1,5,2,2,2,3,3,1,4,4,1,1,5,2
75100,2,4,4,4,2,3,2,5,5,3,1,1,2,1,3,3,2,1,3,3,4
75145,3,5,3,4,2,2,4,2,3,1,1,2,3,2,2,3,1,2,1,2,4
75158,1,4,2,4,2,2,5,2,3,2,2,2,3,3,5,3,5,1,2,6,5
75159,3,5,3,3,2,1,6,2,5,1,1,2,1,5,1,3,2,1,3,2,1
75193,2,4,1,3,1,1,5,1,1,1,1,1,2,1,2,2,1,1,1,2,2
75215,3,4,2,2,1,4,3,1,1,3,2,1,3,2,5,3,2,2,3,2,4
75237,5,6,2,5,5,4,5,2,3,3,1,2,5,2,2,3,5,1,2,2,3
75238,3,5,1,2,1,4,2,2,4,4,1,1,2,3,5,2,5,1,3,5,5
75250,1,5,2,2,2,3,2,2,3,3,1,2,4,3,5,2,3,2,2,1,3
75257,2,5,1,1,1,3,3,2,1,1,1,2,3,1,5,2,3,2,4,4,5
75308,2,5,3,5,2,3,2,2,2,5,5,2,5,2,5,3,5,3,5,3,3
75371,5,5,2,3,2,3,2,2,2,1,2,2,4,2,6,2,2,2,3,2,4
75376,2,3,3,2,1,3,4,3,3,3,2,2,1,3,4,2,2,2,2,3,2
75395,6,5,2,2,2,6,2,2,2,1,3,1,5,1,6,2,2,1,3,2,2
75430,2,5,2,5,2,5,5,2,1,2,1,2,5,2,5,5,4,1,1,2,3
75431,2,4,1,6,2,5,1,2,1,3,1,1,2,1,6,2,2,1,1,1,2
75466,2,3,3,2,2,2,5,3,2,3,2,3,2,2,2,3,5,2,3,3,3
75521,4,5,2,4,2,4,3,2,2,4,5,2,4,3,5,2,4,2,3,4,5
75522,2,2,4,2,3,3,2,3,3,3,2,2,2,2,5,2,2,2,2,2,3
75526,2,4,1,5,1,2,1,5,1,1,1,2,2,1,6,2,3,2,1,1,2
75574,2,3,3,3,5,3,4,3,2,2,1,2,3,5,3,3,3,2,4,5,3
75608,3,5,1,4,1,4,5,1,2,2,1,1,4,2,5,1,3,1,2,2,2
75621,2,2,4,5,2,5,5,3,2,2,2,4,3,2,5,2,3,2,2,3,3
75656,3,5,3,3,3,3,3,3,3,3,3,3,3,3,5,5,4,4,4,3,3
75681,2,3,2,3,3,2,5,2,3,2,1,2,3,3,2,4,5,1,2,5,2
75711,3,3,1,2,2,3,4,1,2,1,1,2,2,2,4,3,4,1,3,2,3
75712,4,3,2,5,2,2,4,2,3,3,3,4,3,3,3,4,4,2,4,5,2
75755,2,6,2,5,2,4,5,2,3,2,2,3,4,2,5,2,3,2,1,2,3
75782,3,4,1,5,1,4,2,1,1,3,2,3,3,2,6,3,1,2,3,3,4
75791,4,5,2,4,2,2,5,2,4,1,2,2,3,1,2,4,3,2,3,5,2
75793,2,5,4,3,2,2,4,1,3,2,3,4,3,5,5,4,3,1,2,3,5
75801,3,6,1,5,3,3,4,2,2,3,3,2,3,2,4,2,4,2,1,4,4
75810,88,77,2,2,3,4,88,3,5,3,2,2,2,2,3,4,2,1,2,1,3
75823,2,1,2,5,1,5,3,4,2,2,1,3,3,2,5,2,5,2,4,4,2
75827,3,6,2,5,2,2,5,2,2,2,2,2,2,2,2,3,5,1,2,3,3
75833,4,5,1,2,2,3,2,1,3,2,1,2,3,2,5,1,2,1,1,4,2
75838,3,4,2,2,2,5,5,3,4,3,1,2,3,4,4,3,2,2,2,4,3
75842,2,4,3,3,1,4,3,4,2,2,2,2,4,3,3,2,2,4,3,4,3
75851,3,6,2,5,4,4,6,2,3,2,1,2,5,5,5,5,6,2,1,4,3
75854,4,6,1,6,1,6,3,1,1,3,2,1,2,1,6,3,2,1,1,3,2
75855,2,5,2,4,5,3,5,2,5,4,2,2,3,5,5,2,3,2,3,2,5
75859,4,6,1,2,4,3,2,1,3,3,1,1,4,4,5,2,2,1,2,2,4
75882,2,5,2,2,1,1,2,2,3,4,3,3,2,2,4,3,2,2,1,1,3
75884,1,5,3,5,4,2,2,3,3,2,4,1,5,2,5,4,3,1,1,4,3
75890,4,5,2,3,1,3,2,2,2,4,2,2,3,2,4,1,3,2,3,4,2
75903,3,2,2,3,2,5,5,2,3,4,1,2,2,3,4,3,3,1,2,4,5
75920,4,5,1,5,3,3,4,2,3,3,2,2,4,3,5,4,3,1,1,3,3
75924,3,5,2,4,2,4,3,2,3,3,3,2,3,1,4,3,3,2,3,4,5
75925,5,5,2,2,1,6,5,2,2,2,2,4,3,2,6,1,4,2,2,2,2
75971,3,3,1,5,1,1,6,1,2,1,1,1,5,2,2,2,1,1,2,2,2
75973,2,3,1,4,3,1,5,3,4,1,1,2,3,2,2,4,4,1,3,2,1
75989,5,3,1,3,2,5,6,2,2,3,3,1,4,2,6,6,6,1,2,5,5
75996,3,5,2,3,2,2,2,2,2,2,2,2,4,2,5,2,4,2,2,1,4
76023,2,5,2,3,3,2,5,2,3,2,2,2,3,4,3,3,2,2,2,2,2
76049,1,4,3,3,3,3,3,3,3,3,3,3,3,3,6,2,6,3,3,3,3
76058,2,5,2,5,5,3,2,3,2,2,3,2,4,5,5,2,5,2,2,1,3
76066,1,5,1,3,2,3,3,2,1,2,1,2,3,2,4,2,3,1,2,3,3
76080,2,3,2,2,2,4,3,3,2,3,1,3,3,3,4,3,3,3,2,6,3
76086,2,4,1,5,2,2,4,1,2,1,1,2,3,2,3,2,1,1,1,6,2
76091,1,6,1,5,3,1,3,2,1,2,1,2,3,3,2,4,3,1,1,4,2
76117,5,6,3,5,2,3,5,2,2,3,2,3,5,2,5,2,5,3,1,3,5
76167,2,5,3,4,3,4,4,2,3,3,2,1,1,2,4,2,3,1,1,1,2
76197,5,6,2,2,2,5,2,2,3,3,6,2,2,1,5,5,6,3,1,2,5
76213,1,5,1,5,2,4,5,2,3,2,1,1,5,3,5,5,5,2,2,5,5
76227,1,3,3,4,6,2,5,2,4,2,2,3,4,3,2,4,4,1,1,4,2
76235,3,4,1,5,2,2,2,1,1,2,2,1,2,2,3,1,4,1,1,1,2
76259,1,3,1,2,3,1,3,1,2,2,1,2,1,3,3,2,2,1,1,5,2
76266,2,4,2,5,5,3,5,2,2,3,1,2,5,2,5,5,4,1,3,2,3
76304,3,6,2,6,1,3,1,1,1,1,1,1,1,1,3,1,3,1,6,1,1
76306,3,5,2,4,2,3,2,2,1,3,1,2,2,2,5,5,4,1,2,2,4
76311,2,5,2,5,2,2,5,2,2,2,2,4,3,3,5,3,5,3,2,5,3
76317,3,4,3,5,2,3,2,3,2,3,2,3,3,3,4,3,3,3,2,4,3
76344,4,4,2,2,2,2,4,1,4,2,4,2,4,2,6,3,3,1,3,2,2
76347,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77
76352,5,5,2,5,2,2,2,2,1,2,2,2,3,2,5,2,3,2,2,3,2
76357,5,5,1,5,3,4,3,2,2,3,3,1,3,3,5,2,3,1,2,2,5
76358,4,6,2,5,2,5,3,2,2,4,5,2,5,3,6,2,3,1,2,2,5
76371,6,6,6,6,6,6,6,5,5,5,5,5,5,4,5,5,5,3,2,2,5
76378,5,2,2,5,2,5,6,2,2,2,1,4,2,2,5,1,1,2,1,3,4
76411,2,4,2,3,4,5,3,2,5,2,3,2,4,2,5,2,5,1,2,4,3
76456,3,5,1,4,2,3,1,3,1,3,3,1,3,1,3,2,5,1,2,1,2
76481,2,4,2,5,2,3,2,3,2,1,1,2,3,4,2,2,1,1,2,2,2
76484,2,5,1,4,1,4,4,3,2,5,2,1,3,2,6,4,2,1,1,3,4
76512,1,4,1,4,1,2,5,1,2,3,2,2,3,2,5,4,5,1,2,5,5
76539,5,6,3,5,5,4,6,3,3,2,2,2,5,5,3,5,5,2,5,4,5
76569,1,3,2,4,3,4,6,2,4,2,2,2,3,1,2,2,3,2,3,5,3
76588,1,4,2,1,2,4,3,3,5,2,4,2,2,88,4,4,4,2,2,5,3
76602,2,6,4,3,1,3,6,2,3,4,1,1,5,2,4,3,4,1,3,3,4
76609,4,6,1,3,1,3,1,2,2,4,1,1,3,2,6,2,4,1,1,1,2
76644,4,3,2,5,2,4,5,2,5,2,5,3,2,3,4,4,5,2,1,3,5
76651,2,5,1,5,1,1,3,1,1,1,1,2,2,1,6,2,5,1,4,1,1
76657,1,3,2,4,3,2,5,2,4,1,2,2,4,3,2,5,5,2,1,6,2
76695,2,5,1,4,3,2,6,4,5,2,2,3,3,3,3,3,4,1,1,4,2
76699,1,4,1,2,2,3,5,2,4,2,1,2,3,4,5,4,3,2,2,5,3
76707,4,3,1,3,1,3,3,2,4,1,2,2,3,2,5,2,3,1,2,2,1
76716,3,5,2,5,2,5,4,3,1,2,3,2,4,2,6,2,2,2,3,6,5
76757,1,5,3,3,3,2,5,1,2,3,1,2,3,4,3,5,5,3,1,4,3
76766,4,5,2,5,2,5,5,2,4,2,1,2,5,2,6,1,3,1,3,5,4
76802,1,4,1,2,1,3,5,2,2,2,1,2,2,4,5,2,1,1,2,2,3
76811,5,5,2,2,2,5,3,2,2,1,1,2,2,2,5,4,4,1,2,2,2
76812,4,5,3,5,2,5,3,88,2,2,2,3,4,5,6,2,77,2,2,3,5
76825,2,4,3,3,2,3,3,4,3,3,2,3,2,2,4,3,1,1,4,4,3
76833,2,4,4,5,6,3,3,3,3,3,2,3,3,2,4,2,4,1,1,3,5
76842,1,4,1,3,3,1,2,1,1,3,1,1,3,2,1,3,5,1,1,4,5
76882,5,5,2,3,2,5,5,1,1,2,2,2,5,4,5,4,2,2,1,3,4
76897,2,5,2,2,2,3,2,2,2,2,2,1,4,1,5,1,2,1,3,2,4
76947,1,6,1,6,1,1,1,1,1,2,1,1,6,1,6,1,2,1,1,1,6
76958,3,3,2,4,4,2,3,2,4,2,2,2,2,2,3,4,3,1,3,5,2
77001,2,6,2,4,2,5,2,1,2,2,3,2,5,2,5,3,2,1,2,2,2
77055,1,6,1,2,3,4,5,1,4,1,1,1,2,4,4,3,3,1,2,3,4
77062,1,5,1,4,2,2,1,2,2,2,2,2,2,2,3,2,3,2,3,3,2
77065,1,5,2,5,2,2,4,1,5,3,1,2,3,2,2,2,2,1,2,1,6
77067,1,6,1,6,5,1,4,1,2,2,1,1,6,3,1,3,5,1,1,3,3
77075,2,5,1,6,1,6,4,2,1,5,1,3,1,2,6,1,3,1,2,4,3
77084,4,5,2,3,3,5,3,2,2,3,1,3,2,1,5,2,2,1,1,4,3
77097,3,4,3,5,2,4,5,2,3,3,2,2,5,3,6,5,4,1,2,5,5
77116,3,4,4,3,4,5,4,4,4,3,4,2,5,2,5,4,5,2,2,2,2
77130,2,3,1,4,2,2,3,2,2,1,2,2,3,4,4,1,3,1,2,4,3
77157,5,4,2,5,1,5,2,3,2,4,3,2,4,2,6,1,6,1,3,2,6
77164,4,4,2,2,2,4,4,2,2,2,2,3,3,3,5,1,2,1,2,5,2
