idno,ipcrtiva,impricha,ipeqopta,ipshabta,impsafea,impdiffa,ipfrulea,ipudrsta,ipmodsta,ipgdtima,impfreea,iphlppla,ipsucesa,ipstrgva,ipadvnta,ipbhprpa,iprspota,iplylfra,impenva,imptrada,impfuna
51136,2,4,2,2,2,3,3,1,2,3,1,1,2,1,2,1,2,1,1,3,2
51181,4,4,2,3,2,4,3,3,2,3,2,2,4,2,4,2,2,2,3,3,3
51190,4,4,1,3,1,3,2,1,2,4,3,3,4,1,4,2,2,1,1,1,3
51191,2,2,2,2,2,2,3,2,3,3,2,2,3,2,5,2,2,2,2,2,4
51192,2,4,2,3,3,2,3,2,3,2,2,2,3,3,3,2,3,2,2,2,3
51221,2,3,2,2,2,2,6,3,4,2,2,3,2,3,3,4,4,2,2,2,3
51224,2,3,3,2,4,3,3,2,4,3,2,3,2,3,3,3,2,2,2,4,3
51231,3,4,3,3,2,3,3,3,2,3,2,2,3,3,4,2,3,2,3,2,3
51259,3,4,3,3,2,2,1,4,2,3,4,2,3,2,3,1,1,1,3,1,3
51262,3,5,2,3,2,5,4,2,4,4,2,2,5,2,6,2,1,1,1,1,4
51285,3,2,2,1,2,1,4,3,4,1,1,4,1,1,2,4,2,1,1,5,2
51322,3,2,2,3,1,3,2,3,2,1,3,2,3,1,4,2,1,2,1,3,1
51414,2,3,2,2,2,3,2,3,3,3,2,3,2,1,3,2,2,1,2,2,3
51440,3,3,2,2,3,4,4,3,4,2,2,2,2,3,4,4,3,2,2,5,3
51455,2,4,1,1,1,3,1,1,2,2,1,1,1,1,3,1,1,1,1,1,2
51503,3,2,2,2,3,1,3,2,5,1,1,1,1,1,3,2,2,1,1,1,1
51504,2,1,2,2,2,1,3,3,4,1,1,2,2,3,2,3,3,1,1,5,1
51506,2,3,2,3,3,2,3,2,3,3,1,2,3,3,3,3,3,2,2,3,4
51521,2,5,2,2,3,3,1,2,2,3,2,3,4,2,4,2,2,3,2,3,4
51555,1,3,2,1,1,3,3,3,3,3,2,3,3,1,3,3,2,1,2,3,3
51578,1,3,1,2,1,2,1,1,2,2,1,1,1,1,1,2,2,1,2,2,2
51581,2,5,3,3,2,4,3,2,4,3,2,3,4,2,3,2,2,2,1,4,3
51596,2,6,2,4,1,4,2,2,3,2,1,3,5,2,5,3,4,2,2,2,5
51650,1,4,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,1,4
51713,3,5,2,2,2,4,2,2,4,4,2,3,2,2,5,2,1,1,1,1,5
51719,2,4,1,4,3,3,3,2,2,4,3,2,4,2,3,2,4,3,2,2,4
51720,1,4,1,2,1,4,3,1,1,4,1,1,3,1,4,1,2,2,1,2,4
51731,2,5,1,4,2,3,4,2,3,3,2,2,5,4,3,3,3,2,2,4,3
51735,2,4,3,2,2,4,2,2,4,3,2,2,4,4,6,3,2,2,3,4,3
51736,6,6,2,5,1,1,4,1,1,3,4,2,2,88,6,88,88,1,1,88,4
51739,4,5,5,3,1,3,3,2,2,3,3,3,4,1,5,2,4,2,2,2,4
51741,3,5,1,2,1,3,4,2,1,1,1,2,1,3,4,1,3,3,5,5,2
51757,2,3,2,2,3,1,3,2,3,3,2,2,2,2,1,3,4,2,3,1,1
51766,1,4,1,3,2,3,4,2,2,2,1,2,3,2,5,1,1,1,1,1,2
51773,2,5,2,5,2,5,2,2,2,1,1,1,4,2,5,2,2,1,1,1,1
51780,3,4,2,4,2,4,2,2,2,3,2,2,3,2,4,3,4,2,2,3,3
51802,5,5,2,5,2,4,1,4,2,5,1,1,5,1,5,1,5,2,3,2,4
51857,3,5,2,3,2,4,3,2,5,3,2,2,4,3,4,3,3,2,3,3,3
51878,2,5,1,1,2,2,5,2,2,3,1,3,3,3,3,2,5,2,1,4,2
51897,1,4,1,1,1,3,1,1,1,2,1,2,3,2,5,2,4,1,1,4,5
51901,2,4,2,5,2,4,4,3,4,2,2,2,3,2,4,2,4,2,3,1,2
51911,1,6,1,4,4,5,3,2,2,4,1,1,4,4,6,1,4,1,1,5,3
51944,2,3,2,3,1,3,3,3,4,2,2,2,3,1,4,3,3,2,1,3,2
51959,4,2,2,4,2,2,2,4,4,4,2,3,3,2,3,2,2,2,2,2,4
51961,3,2,2,2,1,3,2,2,4,2,3,2,2,2,4,2,2,2,2,4,3
51965,1,4,2,4,2,4,3,1,3,1,1,2,3,1,4,1,3,2,3,2,1
51977,5,5,1,4,1,6,3,2,2,5,4,3,6,1,6,1,1,1,2,3,5
51995,2,3,3,2,2,2,3,3,4,2,1,1,2,2,3,3,3,2,1,2,2
52009,2,5,1,2,1,2,5,1,2,2,1,1,3,3,4,3,3,2,1,4,3
52020,1,3,2,1,1,3,3,2,4,2,3,2,1,1,4,2,3,1,1,3,1
52035,1,3,3,3,2,3,3,3,2,4,4,3,3,3,5,3,3,2,3,4,5
52046,1,2,2,2,2,2,4,2,4,2,2,2,2,2,3,2,3,2,3,2,2
52062,3,6,3,1,1,2,1,1,2,4,1,1,3,1,4,1,1,1,1,1,1
52065,2,3,1,4,2,3,4,1,1,1,3,2,1,2,2,2,3,1,3,2,1
52089,2,6,1,1,1,4,1,3,1,1,2,2,1,1,2,1,1,1,4,5,1
52094,1,2,1,1,1,4,4,1,2,3,1,1,2,3,3,2,1,1,1,1,3
52117,2,3,1,4,1,3,3,2,88,3,2,3,4,1,3,3,2,1,1,3,3
52135,2,3,2,4,1,3,2,3,4,2,1,1,2,1,4,2,2,2,1,2,2
52150,2,4,3,6,2,4,6,4,5,4,3,4,4,2,6,88,2,4,3,4,5
52170,3,2,2,4,3,6,4,2,1,4,1,1,4,1,6,1,3,3,2,6,6
52179,4,4,3,4,3,4,3,2,1,2,4,3,2,77,5,3,3,1,2,3,2
52249,3,4,2,5,3,5,3,2,3,2,2,2,5,3,5,3,5,2,4,4,2
52271,2,3,2,3,1,2,2,3,2,2,2,4,2,3,3,2,2,2,3,2,3
52278,3,5,1,1,1,4,2,1,3,4,1,1,3,1,4,1,1,1,1,1,4
52280,5,3,1,5,1,3,3,1,4,1,1,1,3,1,5,3,3,1,1,4,3
52284,4,4,2,2,2,4,2,3,3,3,3,3,2,1,4,2,2,1,2,1,3
52285,5,3,3,2,1,4,3,2,2,2,2,3,4,3,2,2,2,3,2,3,2
52286,3,2,88,88,88,2,88,88,88,3,2,2,3,2,4,4,3,2,2,2,2
52289,1,2,3,2,2,3,3,2,3,2,2,2,2,2,3,2,2,1,3,1,2
52291,5,2,1,1,4,2,5,5,5,3,2,1,1,5,4,1,1,1,3,2,5
52293,2,2,4,2,1,2,3,2,2,2,1,2,2,1,3,1,2,1,3,2,5
52305,4,6,2,1,1,5,1,1,4,3,2,2,6,1,5,1,1,2,1,3,5
52438,1,5,1,4,1,2,5,2,4,1,1,1,5,2,4,1,1,1,1,4,5
52449,3,5,1,4,2,3,4,1,4,3,2,2,3,3,4,3,3,1,1,3,3
52452,3,3,1,2,1,4,3,2,2,5,1,1,2,1,3,2,2,1,1,1,2
52471,2,4,2,2,2,2,2,2,3,2,2,2,3,2,4,2,2,2,2,3,2
52472,2,4,1,3,3,1,2,3,5,2,2,4,2,1,6,2,2,1,2,2,4
52477,3,2,3,4,3,3,3,4,3,3,4,1,2,3,3,3,3,4,2,2,3
52480,5,3,2,5,2,5,5,2,2,5,2,3,5,2,5,3,4,2,2,4,5
52487,2,1,3,1,1,2,1,1,1,2,2,2,4,1,1,1,2,3,2,1,1
52510,2,4,2,3,1,3,2,2,4,2,2,2,3,1,4,2,2,2,2,4,3
52519,4,4,2,4,2,4,2,2,2,4,2,2,5,2,5,2,2,2,2,2,4
52532,3,6,1,6,1,5,3,1,2,1,1,1,6,77,6,2,6,1,1,6,1
52545,3,3,1,2,2,4,6,2,3,2,1,1,2,2,6,2,2,2,2,3,3
52573,1,3,2,2,1,2,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2
52600,2,4,4,4,2,3,3,3,2,4,3,3,3,3,3,2,2,2,3,1,3
52616,2,6,2,2,1,4,2,1,2,2,1,2,4,1,5,2,1,1,2,4,1
52629,4,4,3,3,2,4,3,3,2,3,3,1,3,3,4,2,3,2,2,2,4
52638,5,5,2,5,2,5,2,4,2,5,4,5,5,2,5,2,4,4,2,2,5
52644,2,3,2,1,1,2,3,2,3,3,3,3,2,1,3,2,2,1,1,2,3
52681,1,3,1,2,1,1,3,1,1,2,1,2,2,1,2,1,2,1,1,1,2
52716,6,5,3,4,2,3,4,3,4,4,3,4,3,1,5,4,4,2,3,5,4
52731,3,5,1,2,1,3,5,1,1,2,1,1,3,1,6,1,1,1,1,3,2
52744,3,4,2,3,3,3,3,2,3,2,2,3,3,2,3,4,4,2,2,4,3
52745,3,4,1,2,1,2,1,1,3,3,2,2,3,1,4,1,1,1,2,3,3
52746,2,3,1,4,2,2,3,3,1,4,2,3,2,4,2,2,2,1,3,4,2
52759,4,5,3,4,2,4,3,3,3,3,3,2,5,2,5,3,3,2,3,3,3
52762,2,3,1,3,3,3,3,2,3,3,3,88,2,1,3,3,3,1,2,3,3
52781,1,4,2,2,1,2,3,1,3,4,2,1,2,2,1,1,1,2,2,3,2
52791,2,3,1,1,1,2,1,1,3,2,1,1,1,1,1,1,1,1,1,1,1
52796,3,4,2,4,2,4,3,2,4,2,2,2,4,2,4,2,2,2,2,2,2
52815,5,2,2,3,2,5,2,2,2,2,2,3,3,3,5,2,2,2,2,5,2
52833,3,4,1,1,1,3,1,1,3,2,1,1,1,1,3,1,1,1,1,1,3
52858,1,4,1,2,2,4,2,2,2,2,1,1,2,1,5,1,1,1,1,1,3
52880,3,5,2,3,3,4,3,3,2,3,1,1,3,3,4,2,3,1,1,1,4
52888,2,4,1,3,3,4,4,3,3,3,2,1,4,3,5,4,3,1,1,4,3
52891,2,4,3,2,3,2,3,6,1,5,2,2,1,1,3,2,3,4,2,3,2
52904,2,5,2,5,2,5,4,2,2,2,2,3,5,2,6,2,2,2,3,2,5
52907,2,3,2,2,1,5,3,2,2,2,1,2,2,2,5,2,2,2,2,2,2
52910,4,3,1,4,1,4,3,3,4,2,1,3,3,1,4,1,1,1,1,1,3
52975,2,4,1,3,2,3,4,2,3,1,2,2,2,2,3,6,4,3,4,3,4
52994,2,4,1,2,2,4,4,1,3,3,1,1,3,3,5,3,3,1,1,3,3
53002,3,4,2,4,3,3,5,2,2,2,1,2,3,3,4,4,3,1,2,6,2
53008,3,4,2,3,2,4,4,3,3,2,2,2,3,3,4,2,2,2,2,2,3
53011,1,3,1,1,1,2,1,1,3,3,1,1,1,2,5,1,3,1,1,3,3
53015,2,6,6,2,2,2,3,2,2,3,2,2,3,2,3,3,2,2,2,2,2
53016,3,4,3,3,3,3,3,2,3,3,2,2,4,3,4,3,3,3,3,2,3
53029,4,4,2,2,1,2,2,2,2,3,2,3,3,1,3,2,2,1,1,2,3
53067,3,3,2,3,2,2,3,2,4,1,2,2,2,1,4,3,4,1,1,1,2
53091,1,4,1,2,1,4,1,1,4,1,1,1,2,1,4,2,3,1,1,1,3
53100,2,6,1,3,2,2,3,1,3,2,1,2,3,2,4,1,1,1,1,1,2
53131,1,3,1,4,2,2,2,2,3,2,1,1,2,2,5,1,3,1,2,3,5
53145,1,1,4,3,1,1,6,3,1,1,1,2,1,1,3,1,1,1,1,3,1
53154,5,3,1,2,1,5,77,1,2,4,1,1,2,1,6,1,3,1,1,3,5
53159,3,4,2,3,1,4,4,2,3,3,1,1,2,1,4,3,3,1,2,3,3
53183,5,5,1,3,2,3,2,2,2,4,1,3,4,1,3,1,2,1,1,1,4
53193,4,5,1,1,3,4,2,1,4,5,1,1,4,2,3,1,1,1,1,1,5
53212,2,6,2,5,2,6,5,2,2,2,1,2,6,2,6,2,3,1,2,3,3
53236,4,6,2,4,1,6,3,3,2,5,1,2,3,3,6,2,4,1,3,2,4
53245,1,4,2,2,2,3,4,4,3,3,1,3,4,2,6,4,3,3,3,5,3
53278,3,4,2,3,2,5,4,3,3,3,2,2,3,2,5,2,2,2,2,2,3
53286,2,4,1,4,1,2,3,1,1,1,1,1,1,77,3,2,1,1,1,2,1
53298,2,3,4,4,2,3,2,2,1,2,1,2,2,2,2,1,1,2,2,2,3
53301,4,3,1,3,2,4,2,3,4,2,2,2,3,2,3,2,2,1,3,2,2
53315,3,2,2,2,2,4,4,4,4,3,2,3,2,2,4,2,2,2,2,2,4
53333,2,3,1,4,1,2,1,2,3,1,1,4,2,1,6,2,3,1,1,2,5
53359,1,3,3,2,2,3,2,2,4,3,1,3,1,1,3,3,3,2,4,1,2
53368,5,5,1,5,1,5,3,2,3,4,2,2,5,2,4,1,2,2,2,1,3
53377,1,3,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2
53380,4,4,2,4,2,4,2,2,2,4,2,2,4,2,4,2,4,2,2,3,4
53384,4,4,2,5,2,5,2,3,2,4,1,4,3,1,6,88,88,1,2,4,2
53390,3,4,1,1,1,4,3,88,88,3,1,2,3,2,4,2,2,1,1,2,4
53398,2,3,2,2,2,1,3,2,3,2,1,2,2,2,3,3,2,1,1,3,2
53415,1,3,1,1,3,1,2,1,5,1,1,1,2,1,2,4,1,1,1,3,2
53421,1,4,1,2,1,3,3,1,1,3,1,2,2,2,4,2,3,1,1,3,3
53425,3,6,1,6,1,4,2,1,2,2,1,2,5,1,5,1,4,1,1,1,2
53458,2,2,5,3,1,4,3,2,1,2,3,1,3,2,5,1,2,1,2,3,3
53467,3,5,1,5,1,5,2,3,3,5,2,1,4,2,6,2,3,1,2,2,4
53497,2,6,1,4,3,4,4,2,3,3,2,1,4,3,4,3,4,1,1,4,4
53502,2,5,4,3,1,1,2,2,1,2,3,1,2,2,1,2,3,2,2,1,2
53509,2,3,2,1,2,2,3,1,2,2,2,1,2,1,4,1,2,1,1,1,2
53535,2,3,1,4,3,1,6,1,4,1,1,1,3,1,1,4,1,1,1,3,1
53536,4,5,1,5,1,4,2,5,2,4,2,4,5,1,5,1,5,5,1,4,4
53539,3,4,2,2,2,5,3,2,2,3,2,3,4,3,5,2,2,3,3,5,4
53567,1,2,2,2,1,1,2,2,2,2,1,2,3,2,3,1,2,2,2,2,2
53580,2,6,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1
53620,2,1,2,2,3,2,2,3,1,2,2,2,2,3,1,2,2,2,2,1,3
53645,2,5,1,4,1,6,5,2,2,3,1,2,2,1,5,2,4,2,2,3,2
53647,2,77,4,2,2,4,6,2,3,3,1,2,2,3,4,77,3,1,2,4,3
53674,4,4,2,4,1,5,1,2,2,5,3,88,2,1,6,1,2,1,2,1,4
53691,1,5,1,2,2,2,4,2,2,2,1,3,2,3,3,2,3,1,1,5,3
53810,2,3,1,1,1,3,1,1,2,2,1,1,1,1,2,1,1,1,1,1,2
53820,3,2,1,2,2,2,4,2,4,1,2,3,3,3,3,3,3,1,3,3,1
53821,1,4,1,2,1,5,4,1,4,4,2,2,2,1,5,4,2,2,2,4,6
53834,1,6,2,1,1,6,1,1,1,2,2,1,5,2,6,2,1,1,1,6,1
53841,1,2,2,2,3,1,3,3,4,1,1,3,3,2,3,3,2,2,1,2,2
53865,4,3,1,1,1,4,4,2,4,1,1,1,1,1,4,2,1,1,1,3,2
